Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,16:00:00,95.625,96.462,95.625,96.183,8078101,0
2014-08-12,17:00:00,96.188,96.273,95.824,95.934,7160988,0
2014-08-12,18:00:00,95.934,95.964,95.486,95.914,6108750,0
2014-08-12,19:00:00,95.904,95.914,95.586,95.675,3374536,0
2014-08-12,20:00:00,95.666,95.815,95.635,95.751,2890700,0
2014-08-12,21:00:00,95.745,95.765,95.197,95.232,4579640,0
2014-08-12,22:00:00,95.228,95.755,95.228,95.556,7352963,0
2014-08-13,16:00:00,95.735,96.093,95.625,95.894,4900128,0
2014-08-13,17:00:00,95.89,96.273,95.884,96.223,6725463,0
2014-08-13,18:00:00,96.223,96.531,96.222,96.372,5815124,0
2014-08-13,19:00:00,96.367,96.432,96.243,96.402,3098677,0
2014-08-13,20:00:00,96.402,96.661,96.342,96.651,4767276,0
2014-08-13,21:00:00,96.661,96.691,96.442,96.647,4462636,0
2014-08-13,22:00:00,96.642,96.82,96.541,96.82,7676161,0
2014-08-14,16:00:00,96.91,97.029,96.382,96.701,7018236,0
2014-08-14,17:00:00,96.691,97.119,96.556,97.029,8059670,0
2014-08-14,18:00:00,97.029,97.119,96.706,96.89,5722445,0
2014-08-14,19:00:00,96.9,96.97,96.8,96.89,2940705,0
2014-08-14,20:00:00,96.887,97.149,96.83,97.139,3997761,0
2014-08-14,21:00:00,97.139,97.139,96.91,97.064,3526489,0
2014-08-14,22:00:00,97.068,97.149,96.96,97.079,6312926,0
2014-08-15,16:00:00,97.477,97.567,97.029,97.358,11304365,0
2014-08-15,17:00:00,97.358,97.766,96.93,97.174,12601122,0
2014-08-15,18:00:00,97.179,97.418,96.442,96.701,10776391,0
2014-08-15,19:00:00,96.701,97.069,96.521,96.94,5100580,0
2014-08-15,20:00:00,96.93,97.139,96.78,96.979,3812325,0
2014-08-15,21:00:00,96.989,97.338,96.93,97.268,5060515,0
2014-08-15,22:00:00,97.268,97.577,97.099,97.557,8219969,0
2014-08-18,16:00:00,98.065,98.304,97.557,98.284,9737847,0
2014-08-18,17:00:00,98.284,98.563,98.115,98.553,8663631,0
2014-08-18,18:00:00,98.553,98.702,97.666,98.523,7482219,0
2014-08-18,19:00:00,98.526,98.652,98.433,98.642,5125236,0
2014-08-18,20:00:00,98.652,98.941,98.622,98.828,7233736,0
2014-08-18,21:00:00,98.828,98.911,98.632,98.752,6551021,0
2014-08-18,22:00:00,98.752,98.812,98.642,98.732,261377023,0
2014-08-19,16:00:00,98.981,99.449,98.891,99.404,10069359,0
2014-08-19,17:00:00,99.399,99.51,99.13,99.328,10518229,0
2014-08-19,18:00:00,99.319,99.57,99.12,99.55,10307063,0
2014-08-19,19:00:00,99.55,100.09,99.409,99.89,18967564,0
2014-08-19,20:00:00,99.89,100.12,99.78,99.99,8579000,0
2014-08-19,21:00:00,100,100.19,99.9,99.97,7900050,0
2014-08-19,22:00:00,99.96,100.25,99.85,100.1,15248815,0
2014-08-20,16:00:00,100.02,100.33,99.82,100.03,10059745,0
2014-08-20,17:00:00,100.03,100.04,99.52,99.97,12975906,0
2014-08-20,18:00:00,99.96,100.43,99.89,100.35,8677872,0
2014-08-20,19:00:00,100.35,100.45,100.16,100.44,5800100,0
2014-08-20,20:00:00,100.43,100.65,100.33,100.47,6619373,0
2014-08-20,21:00:00,100.48,100.5,100.25,100.42,6826448,0
2014-08-20,22:00:00,100.43,100.55,100.12,100.14,12249325,0
2014-08-21,16:00:00,100.14,100.34,99.92,100.18,6626767,0
2014-08-21,17:00:00,100.19,100.21,99.68,100.01,7862765,0
2014-08-21,18:00:00,100.01,100.11,99.91,100.01,4869852,0
2014-08-21,19:00:00,100.01,100.12,99.92,100.04,4186201,0
2014-08-21,20:00:00,100.04,100.24,100.02,100.2,3930882,0
2014-08-21,21:00:00,100.2,100.5,100.19,100.39,5311013,0
2014-08-21,22:00:00,100.4,100.41,100.04,100.15,42216335,0
2014-08-22,16:00:00,99.86,100.45,99.76,100.44,6697991,0
2014-08-22,17:00:00,100.43,100.8,100.18,100.53,11449922,0
2014-08-22,18:00:00,100.53,100.97,100.41,100.92,8421983,0
2014-08-22,19:00:00,100.92,101.03,100.73,100.87,4498663,0
2014-08-22,20:00:00,100.87,100.9,100.54,100.72,6327300,0
2014-08-22,21:00:00,100.72,100.8,100.55,100.76,5673617,0
2014-08-22,22:00:00,100.76,100.96,100.68,100.88,10548864,0
2014-08-25,16:00:00,101.36,101.73,101.25,101.37,10008085,0
2014-08-25,17:00:00,101.36,101.58,101.1,101.52,10586199,0
2014-08-25,18:00:00,101.52,101.62,101.38,101.5,6024971,0
2014-08-25,19:00:00,101.49,101.55,101.02,101.13,5463216,0
2014-08-25,20:00:00,101.12,101.31,100.84,101.2,5053145,0
2014-08-25,21:00:00,101.19,101.21,101.04,101.18,3641061,0
2014-08-25,22:00:00,101.18,101.31,101.09,101.1,6078303,0
2014-08-26,16:00:00,100.98,101.06,100.42,100.78,8055780,0
2014-08-26,17:00:00,100.78,100.82,100.43,100.59,9233109,0
2014-08-26,18:00:00,100.59,100.75,100.55,100.72,5026921,0
2014-08-26,19:00:00,100.72,100.96,100.63,100.67,3652278,0
2014-08-26,20:00:00,100.68,100.77,100.6,100.74,2683222,0
2014-08-26,21:00:00,100.75,100.84,100.64,100.68,4002342,0
2014-08-26,22:00:00,100.68,100.76,100.44,100.45,6573959,0
2014-08-27,16:00:00,100.58,100.74,100.27,100.41,6298766,0
2014-08-27,17:00:00,100.4,100.74,100.28,100.72,7029747,0
2014-08-27,18:00:00,100.72,101.54,100.56,101.32,9437427,0
2014-08-27,19:00:00,101.32,101.62,101.29,101.62,7463920,0
2014-08-27,20:00:00,101.62,101.74,101.4,101.72,7312081,0
2014-08-27,21:00:00,101.71,102.13,101.63,101.63,10685753,0
2014-08-27,22:00:00,101.64,101.81,101.5,101.69,13411285,0
2014-08-28,16:00:00,101.15,102.1,101.12,101.97,11058549,0
2014-08-28,17:00:00,101.99,102.06,101.6,101.93,10653861,0
2014-08-28,18:00:00,101.93,102.12,101.81,101.98,9462768,0
2014-08-28,19:00:00,101.98,102.34,101.93,101.99,10286285,0
2014-08-28,20:00:00,101.99,102.09,101.83,101.98,7561182,0
2014-08-28,21:00:00,101.98,102.07,101.82,101.84,4205054,0
2014-08-28,22:00:00,101.84,102.08,101.72,101.81,672861965,0
2014-08-29,16:00:00,102.37,102.46,101.91,102.08,7190239,0
2014-08-29,17:00:00,102.08,102.15,101.76,102.03,8323252,0
2014-08-29,18:00:00,102.04,102.23,102,102.04,6412423,0
2014-08-29,19:00:00,102.04,102.09,101.86,102,4569685,0
2014-08-29,20:00:00,102,102.08,101.9,101.99,3375217,0
2014-08-29,21:00:00,101.99,102.17,101.98,102.15,4401587,0
2014-08-29,22:00:00,102.15,102.16,101.9,102.06,98648089,0
2014-09-02,16:00:00,102.62,102.74,102.28,102.56,10197219,0
2014-09-02,17:00:00,102.55,103.29,102.55,103.2,13208990,0
2014-09-02,18:00:00,103.19,103.24,102.85,102.86,7745428,0
2014-09-02,19:00:00,102.86,103.1,102.77,102.89,6601770,0
2014-09-02,20:00:00,102.89,103.02,102.65,103,6421374,0
2014-09-02,21:00:00,103,103,102.53,102.76,7485110,0
2014-09-02,22:00:00,102.76,102.86,102.65,102.85,13690135,0
2014-09-03,16:00:00,102.65,102.75,99.469,99.85,33022354,0
2014-09-03,17:00:00,99.85,100.67,99.6,99.84,24577898,0
2014-09-03,18:00:00,99.83,99.94,98.154,98.662,32048729,0
2014-09-03,19:00:00,98.659,99.499,98.373,99.449,22637913,0
2014-09-03,20:00:00,99.439,99.75,98.884,99.489,11136482,0
2014-09-03,21:00:00,99.489,99.56,98.483,98.553,11811650,0
2014-09-03,22:00:00,98.543,98.772,98.383,98.513,21515470,0
2014-09-04,16:00:00,98.423,99.369,97.368,99.2,28534736,0
2014-09-04,17:00:00,99.21,99.66,99.09,99.51,19645075,0
2014-09-04,18:00:00,99.499,99.56,98.921,99.08,11278896,0
2014-09-04,19:00:00,99.07,99.26,98.682,98.961,8247985,0
2014-09-04,20:00:00,98.961,99.08,98.612,98.662,6048434,0
2014-09-04,21:00:00,98.662,98.841,97.637,97.676,11731278,0
2014-09-04,22:00:00,97.686,97.845,97.428,97.696,17519510,0
2014-09-05,16:00:00,98.373,98.821,98.015,98.553,11205098,0
2014-09-05,17:00:00,98.563,98.961,98.154,98.663,13076026,0
2014-09-05,18:00:00,98.672,98.821,98.158,98.334,9793874,0
2014-09-05,19:00:00,98.344,98.503,97.975,97.994,7208590,0
2014-09-05,20:00:00,97.995,98.284,97.886,98.274,5206916,0
2014-09-05,21:00:00,98.284,98.433,98.164,98.224,5758344,0
2014-09-05,22:00:00,98.219,98.563,98.025,98.543,12429367,0
2014-09-08,16:00:00,98.871,98.881,98.204,98.523,10720562,0
2014-09-08,17:00:00,98.513,98.563,98.214,98.509,9074463,0
2014-09-08,18:00:00,98.508,98.672,98.324,98.358,6945273,0
2014-09-08,19:00:00,98.354,98.871,98.224,98.34,4385067,0
2014-09-08,20:00:00,98.339,98.443,97.686,97.776,7800661,0
2014-09-08,21:00:00,97.766,97.955,97.627,97.9,6375441,0
2014-09-08,22:00:00,97.905,97.995,97.726,97.935,9918625,0
2014-09-09,16:00:00,98.652,99.17,98.436,98.931,10203954,0
2014-09-09,17:00:00,98.931,99.25,98.395,98.742,12796389,0
2014-09-09,18:00:00,98.742,99.14,98.682,99.075,7639036,0
2014-09-09,19:00:00,99.066,99.89,99.021,99.82,17406314,0
2014-09-09,20:00:00,99.82,102.63,97.676,102.3,51970921,0
2014-09-09,21:00:00,102.3,102.56,97.975,98.85,48930950,0
2014-09-09,22:00:00,98.851,98.891,95.725,97.567,691860696,0
2014-09-10,16:00:00,97.587,98.871,97.368,97.856,20548165,0
2014-09-10,17:00:00,97.846,98.473,97.338,98.329,21425646,0
2014-09-10,18:00:00,98.324,99.319,97.876,99.22,16397202,0
2014-09-10,19:00:00,99.21,100.31,98.991,100.01,15324189,0
2014-09-10,20:00:00,100.01,100.67,99.63,99.75,16699630,0
2014-09-10,21:00:00,99.75,100.09,99.469,99.89,9103022,0
2014-09-10,22:00:00,99.9,100.61,99.81,100.56,18626644,0
2014-09-11,16:00:00,99.98,100.41,99.68,100.08,9908046,0
2014-09-11,17:00:00,100.07,100.13,99.19,99.43,14462675,0
2014-09-11,18:00:00,99.439,99.71,99.299,99.51,8816937,0
2014-09-11,19:00:00,99.51,99.82,99.459,99.68,5245092,0
2014-09-11,20:00:00,99.67,99.77,99.28,99.449,5959851,0
2014-09-11,21:00:00,99.439,100.34,99.419,100.3,9591898,0
2014-09-11,22:00:00,100.3,101,100.3,100.99,18072986,0
2014-09-12,16:00:00,100.77,101.36,100.64,100.89,11245564,0
2014-09-12,17:00:00,100.89,101.25,100.72,101.2,10267710,0
2014-09-12,18:00:00,101.21,101.63,101.09,101.18,11252354,0
2014-09-12,19:00:00,101.18,101.75,101.05,101.53,8935525,0
2014-09-12,20:00:00,101.54,101.71,101.38,101.53,7267301,0
2014-09-12,21:00:00,101.52,101.7,101.04,101.14,9697435,0
2014-09-12,22:00:00,101.14,101.49,100.93,101.22,13040447,0
2014-09-15,16:00:00,102.37,102.61,101.2,101.48,16345151,0
2014-09-15,17:00:00,101.48,101.96,101.27,101.74,11497729,0
2014-09-15,18:00:00,101.73,102.22,101.53,101.59,11082118,0
2014-09-15,19:00:00,101.6,102.14,101.33,101.86,7122603,0
2014-09-15,20:00:00,101.86,101.92,101.16,101.24,8266627,0
2014-09-15,21:00:00,101.24,101.71,101.16,101.35,7355088,0
2014-09-15,22:00:00,101.35,101.56,101,101.19,9467951,0
2014-09-16,16:00:00,99.369,100.1,98.463,99.66,16483450,0
2014-09-16,17:00:00,99.66,99.97,99.13,99.16,15369165,0
2014-09-16,18:00:00,99.15,99.81,98.921,99.77,12268830,0
2014-09-16,19:00:00,99.76,99.88,99.62,99.73,6788793,0
2014-09-16,20:00:00,99.73,100.12,99.73,99.84,6716643,0
2014-09-16,21:00:00,99.83,100.55,99.83,100.43,6837451,0
2014-09-16,22:00:00,100.44,100.82,100.37,100.42,12177032,0
2014-09-17,16:00:00,100.83,101.25,100.66,100.94,8471405,0
2014-09-17,17:00:00,100.95,101.1,100.32,100.74,11544877,0
2014-09-17,18:00:00,100.74,100.88,100.57,100.63,6311056,0
2014-09-17,19:00:00,100.63,100.78,100.42,100.44,5900046,0
2014-09-17,20:00:00,100.44,100.81,100.32,100.75,6961432,0
2014-09-17,21:00:00,100.75,101.18,100.16,101.03,12290272,0
2014-09-17,22:00:00,101.04,101.36,100.83,101.14,12988468,0
2014-09-18,16:00:00,101.55,101.91,101.38,101.69,7830220,0
2014-09-18,17:00:00,101.69,101.78,101.43,101.64,8542870,0
2014-09-18,18:00:00,101.63,101.7,101.51,101.58,4507060,0
2014-09-18,19:00:00,101.59,101.66,101.52,101.58,3733877,0
2014-09-18,20:00:00,101.59,101.65,101.38,101.49,4441943,0
2014-09-18,21:00:00,101.49,101.63,101.43,101.47,4498325,0
2014-09-18,22:00:00,101.46,101.49,101.12,101.35,11324706,0
2014-09-19,16:00:00,101.79,101.91,101.28,101.47,8427421,0
2014-09-19,17:00:00,101.47,101.51,100.8,101.33,9910086,0
2014-09-19,18:00:00,101.33,101.52,100.96,101.19,6688174,0
2014-09-19,19:00:00,101.19,101.31,100.88,101.09,5654580,0
2014-09-19,20:00:00,101.1,101.41,101.02,101.33,5395755,0
2014-09-19,21:00:00,101.33,101.55,101.21,101.52,5588786,0
2014-09-19,22:00:00,101.52,101.6,100.46,100.52,18046054,0
2014-09-22,16:00:00,101.36,101.7,100.88,101.18,10787305,0
2014-09-22,17:00:00,101.16,101.2,100.33,100.54,12002388,0
2014-09-22,18:00:00,100.54,100.94,100.41,100.64,7462670,0
2014-09-22,19:00:00,100.64,100.75,100.41,100.59,5320077,0
2014-09-22,20:00:00,100.58,100.59,100.15,100.3,6189048,0
2014-09-22,21:00:00,100.31,100.65,100.25,100.59,6225666,0
2014-09-22,22:00:00,100.59,100.89,100.27,100.62,9557622,0
