Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,16:00:00,318.89,320,318.16,319.93,388321,0
2014-08-12,17:00:00,319.95,321.31,318.86,319.24,597269,0
2014-08-12,18:00:00,319.2499,319.28,317.601,319.04,410241,0
2014-08-12,19:00:00,318.99,319.8999,318.478,319.1,225743,0
2014-08-12,20:00:00,319.18,319.65,318.3,318.33,222013,0
2014-08-12,21:00:00,318.27,318.41,316.95,317.45,314436,0
2014-08-12,22:00:00,317.57,319.94,317.57,319.32,1997116,0
2014-08-13,16:00:00,327.6,330.5,327,328.26,1991791,0
2014-08-13,17:00:00,328.4,331.72,328.02,330.72,1578913,0
2014-08-13,18:00:00,330.71,331.4,329.28,330.06,952605,0
2014-08-13,19:00:00,329.9072,330.18,327.76,327.938,707040,0
2014-08-13,20:00:00,327.93,329.06,327.13,328.8957,589842,0
2014-08-13,21:00:00,328.98,329.13,327.16,328.1,498533,0
2014-08-13,22:00:00,328,328.45,326.14,326.28,2289567,0
2014-08-14,16:00:00,327.57,329.75,326.71,329.47,746419,0
2014-08-14,17:00:00,329.39,330.77,328.51,330.644,984591,0
2014-08-14,18:00:00,330.56,331.48,330.54,331.48,738718,0
2014-08-14,19:00:00,331.42,331.5,330.8,330.97,417206,0
2014-08-14,20:00:00,331.06,332.88,331.02,332.8536,602837,0
2014-08-14,21:00:00,332.85,334.09,332.18,333.88,685804,0
2014-08-14,22:00:00,333.87,333.9699,333.01,333.21,4131868,0
2014-08-15,16:00:00,334.25,335,331.35,332.2587,698504,0
2014-08-15,17:00:00,332.24,333.35,329.3154,330.02,1285269,0
2014-08-15,18:00:00,330.158,331.37,328.32,329.42,990214,0
2014-08-15,19:00:00,329.3,330.93,328.59,330.221,478631,0
2014-08-15,20:00:00,330.22,331,329.86,330.35,327015,0
2014-08-15,21:00:00,330.3,332.01,330.06,331.69,532486,0
2014-08-15,22:00:00,331.7,333.77,331.37,333.63,1088211,0
2014-08-18,16:00:00,335.48,337.8,335.44,337.41,739705,0
2014-08-18,17:00:00,337.49,337.62,336.02,336.175,657965,0
2014-08-18,18:00:00,336.13,337.76,334.8275,335.2401,509080,0
2014-08-18,19:00:00,335.24,336.06,334.625,334.72,388362,0
2014-08-18,20:00:00,334.66,335.52,334.3,334.64,405791,0
2014-08-18,21:00:00,334.68,335.06,333.88,333.99,423723,0
2014-08-18,22:00:00,333.99,334.76,333.77,334.53,982915,0
2014-08-19,16:00:00,334.87,335.81,333.01,334.2399,496996,0
2014-08-19,17:00:00,334.13,334.336,333.37,333.62,425434,0
2014-08-19,18:00:00,333.74,334.24,333.1,334.01,306225,0
2014-08-19,19:00:00,333.92,334.87,333.846,334.75,259859,0
2014-08-19,20:00:00,334.66,335.42,334.582,335.1209,245010,0
2014-08-19,21:00:00,335.12,335.53,334.74,335.3,292139,0
2014-08-19,22:00:00,335.32,335.49,335.05,335.13,692338,0
2014-08-20,16:00:00,334.68,337.16,334.022,336.53,549448,0
2014-08-20,17:00:00,336.5,336.65,335.17,335.85,508974,0
2014-08-20,18:00:00,335.85,336.78,335.4,336.48,352834,0
2014-08-20,19:00:00,336.51,336.6,335.45,335.54,252765,0
2014-08-20,20:00:00,335.7068,336.4043,335.32,335.5,258242,0
2014-08-20,21:00:00,335.51,335.93,334.7,335.62,452998,0
2014-08-20,22:00:00,335.75,336.49,335.63,335.78,964990,0
2014-08-21,16:00:00,336.48,336.582,335,335.44,326779,0
2014-08-21,17:00:00,335.59,335.59,333.71,333.74,625000,0
2014-08-21,18:00:00,333.795,334.5,332.62,332.9,422840,0
2014-08-21,19:00:00,332.89,333.23,332.26,332.608,289753,0
2014-08-21,20:00:00,332.61,333.64,332.5,332.9105,286571,0
2014-08-21,21:00:00,332.955,333.409,332.775,333.24,270924,0
2014-08-21,22:00:00,333.31,333.5,332.23,332.91,834693,0
2014-08-22,16:00:00,332.58,334.08,331.7,332.15,425673,0
2014-08-22,17:00:00,331.99,333.49,331.31,331.57,522233,0
2014-08-22,18:00:00,331.54,331.89,330.8,331.56,514348,0
2014-08-22,19:00:00,331.59,332.2499,331.19,331.96,268125,0
2014-08-22,20:00:00,331.965,332.53,331.83,331.93,242397,0
2014-08-22,21:00:00,331.93,332,331.28,331.899,379302,0
2014-08-22,22:00:00,331.92,332.73,331.2803,331.59,841656,0
2014-08-25,16:00:00,333.21,334.88,332.71,334.86,461420,0
2014-08-25,17:00:00,334.88,336.77,334.1001,335.15,955146,0
2014-08-25,18:00:00,335.1,335.4608,334.58,334.6799,465881,0
2014-08-25,19:00:00,334.581,334.85,333.44,334.44,390459,0
2014-08-25,20:00:00,334.48,335.3,333.56,334.91,418805,0
2014-08-25,21:00:00,335,335.18,333.72,334.4,425693,0
