Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,01:00:00,1.33842,1.33859,1.33828,1.33846,0,0
2014-08-12,02:00:00,1.33847,1.33847,1.33808,1.33819,0,0
2014-08-12,03:00:00,1.33819,1.33827,1.33746,1.33779,0,0
2014-08-12,04:00:00,1.33779,1.33783,1.33672,1.33714,0,0
2014-08-12,05:00:00,1.33718,1.33751,1.33692,1.33692,0,0
2014-08-12,06:00:00,1.33693,1.33737,1.33693,1.33719,0,0
2014-08-12,07:00:00,1.33722,1.33762,1.33711,1.33726,0,0
2014-08-12,08:00:00,1.33726,1.33753,1.33678,1.33697,0,0
2014-08-12,09:00:00,1.33698,1.33719,1.33607,1.3362,0,0
2014-08-12,10:00:00,1.3362,1.33702,1.33614,1.33668,0,0
2014-08-12,11:00:00,1.33668,1.33669,1.33546,1.33546,0,0
2014-08-12,12:00:00,1.33546,1.33551,1.33393,1.33423,0,0
2014-08-12,13:00:00,1.33424,1.33431,1.33358,1.33394,0,0
2014-08-12,14:00:00,1.33395,1.33484,1.33395,1.33418,0,0
2014-08-12,15:00:00,1.33416,1.33539,1.33409,1.33516,0,0
2014-08-12,16:00:00,1.33516,1.33609,1.33486,1.33588,0,0
2014-08-12,17:00:00,1.33587,1.33589,1.33442,1.33571,0,0
2014-08-12,18:00:00,1.33575,1.33607,1.33536,1.33561,0,0
2014-08-12,19:00:00,1.33561,1.33614,1.33549,1.3359,0,0
2014-08-12,20:00:00,1.33591,1.3367,1.33584,1.3367,0,0
2014-08-12,21:00:00,1.3367,1.33692,1.33636,1.33671,0,0
2014-08-12,22:00:00,1.33671,1.33679,1.33656,1.33666,0,0
2014-08-12,23:00:00,1.33666,1.33687,1.33658,1.33684,0,0
2014-08-12,23:59:00,1.33684,1.33689,1.33658,1.3367,0,0
2014-08-13,01:00:00,1.33667,1.33693,1.33665,1.33673,0,0
2014-08-13,02:00:00,1.33673,1.33685,1.3364,1.33641,0,0
2014-08-13,03:00:00,1.33641,1.33674,1.33632,1.33655,0,0
2014-08-13,04:00:00,1.33655,1.33673,1.33634,1.33639,0,0
2014-08-13,05:00:00,1.33638,1.33644,1.33597,1.33643,0,0
2014-08-13,06:00:00,1.33643,1.33664,1.33631,1.3365,0,0
2014-08-13,07:00:00,1.3365,1.33663,1.33635,1.33638,0,0
2014-08-13,08:00:00,1.33638,1.33652,1.33613,1.3362,0,0
2014-08-13,09:00:00,1.3362,1.33726,1.33619,1.33685,0,0
2014-08-13,10:00:00,1.33685,1.33685,1.33489,1.33516,0,0
2014-08-13,11:00:00,1.33518,1.33561,1.33475,1.33495,0,0
2014-08-13,12:00:00,1.33499,1.33633,1.33424,1.33571,0,0
2014-08-13,13:00:00,1.33571,1.33579,1.33506,1.33561,0,0
2014-08-13,14:00:00,1.33562,1.33659,1.33554,1.33636,0,0
2014-08-13,15:00:00,1.33635,1.34145,1.3358,1.34107,0,0
2014-08-13,16:00:00,1.34109,1.34136,1.33845,1.33897,0,0
2014-08-13,17:00:00,1.33895,1.33916,1.33732,1.33798,0,0
2014-08-13,18:00:00,1.33797,1.33812,1.33553,1.33667,0,0
2014-08-13,19:00:00,1.33667,1.33716,1.33614,1.33709,0,0
2014-08-13,20:00:00,1.33709,1.33728,1.33665,1.3367,0,0
2014-08-13,21:00:00,1.3367,1.33707,1.33664,1.33683,0,0
2014-08-13,22:00:00,1.33685,1.33685,1.33622,1.33626,0,0
2014-08-13,23:00:00,1.33626,1.33672,1.33625,1.33642,0,0
2014-08-13,23:59:00,1.33642,1.33656,1.33618,1.33632,0,0
2014-08-14,01:00:00,1.3363,1.33659,1.33614,1.33647,0,0
2014-08-14,02:00:00,1.33647,1.33663,1.33617,1.33651,0,0
2014-08-14,03:00:00,1.33651,1.33664,1.33606,1.33606,0,0
2014-08-14,04:00:00,1.33607,1.33612,1.33554,1.33577,0,0
2014-08-14,05:00:00,1.33577,1.3361,1.33566,1.33588,0,0
2014-08-14,06:00:00,1.33588,1.33626,1.33576,1.33612,0,0
2014-08-14,07:00:00,1.33611,1.33648,1.33597,1.33648,0,0
2014-08-14,08:00:00,1.33648,1.33675,1.3356,1.33578,0,0
2014-08-14,09:00:00,1.33577,1.33662,1.33475,1.336,0,0
2014-08-14,10:00:00,1.336,1.33693,1.33588,1.33598,0,0
2014-08-14,11:00:00,1.33596,1.33665,1.33548,1.33623,0,0
2014-08-14,12:00:00,1.33614,1.33957,1.33566,1.33804,0,0
2014-08-14,13:00:00,1.33804,1.33806,1.33714,1.33759,0,0
2014-08-14,14:00:00,1.33742,1.33847,1.33725,1.33745,0,0
2014-08-14,15:00:00,1.33745,1.34032,1.33719,1.33962,0,0
2014-08-14,16:00:00,1.33962,1.34073,1.33871,1.34025,0,0
