Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,16:00:00,73.09,73.3301,72.77,72.99,6299364,0
2014-08-12,17:00:00,72.99,73,72.24,72.47,9036242,0
2014-08-12,18:00:00,72.46,72.79,72.22,72.539,4281067,0
2014-08-12,19:00:00,72.54,72.82,72.445,72.64,2745614,0
2014-08-12,20:00:00,72.65,72.69,72.47,72.52,1634737,0
2014-08-12,21:00:00,72.52,72.68,72.265,72.61,3330600,0
2014-08-12,22:00:00,72.6101,72.94,72.6,72.83,4318604,0
2014-08-13,16:00:00,73.13,73.63,73.05,73.37,5588921,0
2014-08-13,17:00:00,73.366,73.93,73.35,73.79,6644409,0
2014-08-13,18:00:00,73.785,74.25,73.71,74.12,6334586,0
2014-08-13,19:00:00,74.115,74.22,73.89,74.0501,4158134,0
2014-08-13,20:00:00,74.06,74.25,74.03,74.14,3124748,0
2014-08-13,21:00:00,74.15,74.17,73.91,74.05,2824349,0
2014-08-13,22:00:00,74.05,74.06,73.63,73.77,5698399,0
2014-08-14,16:00:00,73.97,74.38,73.74,73.93,5710797,0
2014-08-14,17:00:00,73.92,74.098,73.69,74.02,6567944,0
2014-08-14,18:00:00,74.01,74.24,73.78,73.91,4267105,0
2014-08-14,19:00:00,73.9,73.97,73.81,73.875,1783271,0
2014-08-14,20:00:00,73.88,74.03,73.81,73.9457,1962256,0
2014-08-14,21:00:00,73.95,74.04,73.861,74.0074,1939243,0
2014-08-14,22:00:00,74.01,74.33,73.99,74.3,4873116,0
2014-08-15,16:00:00,74.32,74.65,74.23,74.271,6682994,0
2014-08-15,17:00:00,74.28,74.439,73.44,73.58,9325292,0
2014-08-15,18:00:00,73.58,73.83,73,73.505,10880463,0
2014-08-15,19:00:00,73.5019,73.71,73.35,73.475,3889507,0
2014-08-15,20:00:00,73.48,73.58,73.32,73.45,3214626,0
2014-08-15,21:00:00,73.45,73.72,73.42,73.63,3161489,0
2014-08-15,22:00:00,73.631,73.66,73.43,73.63,7068385,0
2014-08-18,16:00:00,74,74.6,73.96,74.565,6422514,0
2014-08-18,17:00:00,74.56,74.72,74.48,74.6,6290927,0
2014-08-18,18:00:00,74.61,74.7,74.09,74.56,3898766,0
2014-08-18,19:00:00,74.57,74.65,74.47,74.55,2575034,0
2014-08-18,20:00:00,74.555,74.65,74.5,74.6099,2775556,0
2014-08-18,21:00:00,74.6,74.68,74.54,74.575,2853311,0
2014-08-18,22:00:00,74.58,74.69,74.49,74.59,21798120,0
2014-08-19,16:00:00,74.81,75.22,74.77,75.195,5955436,0
