Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,16:00:00,564.52,565.9,562.86,565.55,1593998,0
2014-08-12,17:00:00,565.81,565.81,562.5101,563.02,449615,0
2014-08-12,18:00:00,563,563,561.67,562.4,236510,0
2014-08-12,19:00:00,562.18,563.01,561.8033,562.46,146692,0
2014-08-12,20:00:00,562.45,563.1897,561.8,562.2,141507,0
2014-08-12,21:00:00,562.27,562.345,560.88,561.33,196262,0
2014-08-12,22:00:00,561.46,563.98,561.36,562.73,2100952,0
2014-08-13,16:00:00,567.2,568,565.75,567.7,319404,0
2014-08-13,17:00:00,567.8,571.44,567.43,571.17,497027,0
2014-08-13,18:00:00,571.3,572.48,571.2,571.665,350303,0
2014-08-13,19:00:00,571.46,573,570.69,572.96,197565,0
2014-08-13,20:00:00,572.9,574.66,572.41,574.3,231778,0
2014-08-13,21:00:00,574.256,574.58,573.21,574.09,296635,0
2014-08-13,22:00:00,574.04,575,572.74,574.78,480253,0
2014-08-14,16:00:00,576.18,577.9,572.81,574,432403,0
2014-08-14,17:00:00,574.11,575.31,573.02,573.16,308434,0
2014-08-14,18:00:00,573.17,573.79,572.8301,573.24,180127,0
2014-08-14,19:00:00,573.41,573.64,571.518,571.75,165093,0
2014-08-14,20:00:00,571.78,573.838,570.88,573.38,232507,0
2014-08-14,21:00:00,573.42,574.095,573.15,573.72,180266,0
2014-08-14,22:00:00,573.65,574.88,573.65,574.65,296804,0
2014-08-15,16:00:00,577.86,578.57,575.4,577.96,578491,0
2014-08-15,17:00:00,577.97,579.38,573.66,575.18,612974,0
2014-08-15,18:00:00,574.99,575.87,570.52,572.1722,478507,0
2014-08-15,19:00:00,571.98,573.27,571.01,572.1001,204054,0
2014-08-15,20:00:00,572.11,573.04,571.55,571.75,147465,0
2014-08-15,21:00:00,571.716,574.18,571.55,573.54,222875,0
2014-08-15,22:00:00,573.56,573.79,572.76,573.48,398167,0
2014-08-18,16:00:00,576.11,580.51,576,580.51,377950,0
2014-08-18,17:00:00,580.54,582.75,580.26,582.75,489666,0
2014-08-18,18:00:00,582.74,583.173,577.08,582.71,301928,0
2014-08-18,19:00:00,582.9799,584.51,582.28,582.28,270589,0
2014-08-18,20:00:00,582.28,584.233,581.85,584.04,304208,0
2014-08-18,21:00:00,584,584.29,583.46,584.14,291573,0
2014-08-18,22:00:00,584.11,584.358,581.56,582.16,2046846,0
2014-08-19,16:00:00,585,587.34,584,586.72,325110,0
2014-08-19,17:00:00,586.835,587,585.5,586.82,319349,0
2014-08-19,18:00:00,586.7,587.01,586.38,586.62,222735,0
2014-08-19,19:00:00,586.6,586.86,585.53,586.74,185306,0
2014-08-19,20:00:00,586.8,587,586.5032,586.6588,166533,0
2014-08-19,21:00:00,586.581,587,586.315,586.826,178575,0
2014-08-19,22:00:00,586.78,587.11,586.47,586.86,342752,0
2014-08-20,16:00:00,586.2,586.7,583.57,584.59,256564,0
2014-08-20,17:00:00,584.7797,585.08,582.57,584.53,431850,0
2014-08-20,18:00:00,584.59,584.75,583.77,584.4042,216334,0
2014-08-20,19:00:00,584.6,584.6,583.6898,583.7,128116,0
2014-08-20,20:00:00,583.79,584.79,583.76,584.44,199220,0
2014-08-20,21:00:00,584.25,584.8,583.29,584.606,253177,0
2014-08-20,22:00:00,584.46,585,584.1,584.49,1065345,0
2014-08-21,16:00:00,583.74,584.5,581.91,583.16,262407,0
2014-08-21,17:00:00,583.3,583.65,581.14,582.92,335498,0
2014-08-21,18:00:00,582.66,583.67,582.51,582.8732,195862,0
