Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,16:00:00,575.725,575.9,572.78,575.65,328500,0
2014-08-12,17:00:00,575.45,575.8399,572.002,572.73,431390,0
2014-08-12,18:00:00,572.47,572.86,571.15,571.38,273574,0
2014-08-12,19:00:00,571.4,572.65,571.0101,572,192436,0
2014-08-12,20:00:00,572.01,572.5,571.1225,571.5,151148,0
2014-08-12,21:00:00,571.41,571.62,569.91,570.27,316974,0
2014-08-12,22:00:00,570.33,573.32,570.22,572.12,1457852,0
2014-08-13,16:00:00,575.93,577.85,575.2,577.51,339214,0
2014-08-13,17:00:00,577.595,581.32,577.18,581,683931,0
2014-08-13,18:00:00,581.13,582.37,580.93,581.22,387667,0
2014-08-13,19:00:00,581.03,582.839,580.645,582.47,262541,0
2014-08-13,20:00:00,582.5,584.5,582.015,584.33,309680,0
2014-08-13,21:00:00,584.34,584.59,583.2,583.87,393367,0
2014-08-13,22:00:00,583.78,584.83,582.61,584.56,3776980,0
2014-08-14,16:00:00,586.69,587.8,582.54,584,452381,0
2014-08-14,17:00:00,584.05,585.34,582.81,583,320148,0
2014-08-14,18:00:00,582.79,583.63,582.58,583.33,202434,0
2014-08-14,19:00:00,583.43,583.62,581.4,581.53,236131,0
2014-08-14,20:00:00,581.56,583.96,580.92,583.38,239780,0
2014-08-14,21:00:00,583.34,584.079,583.21,583.59,189828,0
2014-08-14,22:00:00,583.74,584.75,583.56,584.65,414306,0
2014-08-15,16:00:00,587.19,588.73,584.98,588.17,404995,0
2014-08-15,17:00:00,588.13,589.47,583.54,585.5341,698250,0
2014-08-15,18:00:00,585.6,586.15,580.76,582.16,494522,0
2014-08-15,19:00:00,582.15,583.4,581.24,582.53,237806,0
2014-08-15,20:00:00,582.38,583.29,581.73,581.942,149042,0
2014-08-15,21:00:00,581.7901,584.3,581.7,583.56,209454,0
2014-08-15,22:00:00,583.645,583.95,582.6,583.71,794406,0
2014-08-18,16:00:00,587.1,590.75,586.55,590.7499,418527,0
2014-08-18,17:00:00,590.75,592.98,590.55,592.85,450653,0
2014-08-18,18:00:00,592.85,593.55,586.69,593.23,365133,0
2014-08-18,19:00:00,593.33,594.98,592.64,592.64,389800,0
2014-08-18,20:00:00,592.71,594.79,592.49,594.53,237709,0
2014-08-18,21:00:00,594.51,594.87,594.07,594.7172,355145,0
2014-08-18,22:00:00,594.66,595.05,592.26,592.7,2510004,0
2014-08-19,16:00:00,595.5,597.69,594.44,597.12,341608,0
2014-08-19,17:00:00,597.27,597.39,595.7901,597.39,353626,0
2014-08-19,18:00:00,597.34,597.48,596.88,596.99,258768,0
2014-08-19,19:00:00,596.86,597.45,596,597.42,236856,0
2014-08-19,20:00:00,597.29,597.485,596.9,597.2419,166931,0
