Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-12,16:00:00,44.38,44.72,44.17,44.62,6980175,0
2014-08-12,17:00:00,44.63,44.72,43.62,44.12,7974166,0
2014-08-12,18:00:00,44.12,44.37,43.84,43.94,4134372,0
2014-08-12,19:00:00,43.94,44.52,43.72,44.19,4429200,0
2014-08-12,20:00:00,44.21,44.27,44.01,44.1,1472244,0
2014-08-12,21:00:00,44.11,44.19,43.61,43.84,2401808,0
2014-08-12,22:00:00,43.84,44,43.74,43.81,5124455,0
2014-08-13,16:00:00,44.11,44.19,43.62,43.64,3177872,0
2014-08-13,17:00:00,43.65,44.12,43.63,43.91,3395361,0
2014-08-13,18:00:00,43.91,44.26,43.9,44.07,2400005,0
2014-08-13,19:00:00,44.1,44.11,43.87,43.96,1537840,0
2014-08-13,20:00:00,43.96,44.09,43.94,44.02,1123927,0
2014-08-13,21:00:00,44.02,44.34,43.94,44.25,2517516,0
2014-08-13,22:00:00,44.26,44.3,43.98,44.15,8122198,0
2014-08-14,16:00:00,44.35,44.98,44.35,44.97,3889968,0
2014-08-14,17:00:00,44.97,45.1,44.71,44.82,5906667,0
2014-08-14,18:00:00,44.81,45.13,44.81,45.08,3828774,0
2014-08-14,19:00:00,45.08,45.2,45.04,45.14,2098796,0
2014-08-14,20:00:00,45.13,45.18,44.95,45.09,2299615,0
2014-08-14,21:00:00,45.09,45.29,45.01,45.22,2815654,0
2014-08-14,22:00:00,45.22,45.34,45.16,45.33,12681284,0
2014-08-15,16:00:00,45.43,45.5,45.08,45.21,2873939,0
2014-08-15,17:00:00,45.21,45.41,44.73,44.89,4678463,0
2014-08-15,18:00:00,44.89,44.96,44.44,44.61,4263417,0
2014-08-15,19:00:00,44.61,44.97,44.53,44.93,2328465,0
2014-08-15,20:00:00,44.93,44.94,44.77,44.82,1129611,0
2014-08-15,21:00:00,44.81,44.91,44.66,44.67,1782236,0
2014-08-15,22:00:00,44.67,44.83,44.57,44.76,10313233,0
2014-08-18,16:00:00,45.06,45.33,44.99,45.32,2673186,0
2014-08-18,17:00:00,45.32,45.33,45.09,45.21,2645602,0
2014-08-18,18:00:00,45.2,45.33,45.13,45.14,2442933,0
2014-08-18,19:00:00,45.14,45.17,44.92,44.92,1908581,0
2014-08-18,20:00:00,44.92,45.07,44.77,45.01,2717908,0
2014-08-18,21:00:00,45.01,45.03,44.94,44.97,1028905,0
2014-08-18,22:00:00,44.97,45.13,44.95,45.12,4462415,0
2014-08-19,16:00:00,45.24,45.43,45.03,45.4,2483714,0
2014-08-19,17:00:00,45.4,45.45,45.03,45.06,3055069,0
2014-08-19,18:00:00,45.05,45.18,45.05,45.12,1471731,0
2014-08-19,19:00:00,45.13,45.3,45.05,45.19,1443219,0
2014-08-19,20:00:00,45.18,45.22,45.09,45.14,937878,0
2014-08-19,21:00:00,45.13,45.21,45.09,45.14,854414,0
2014-08-19,22:00:00,45.14,45.22,45.05,45.09,5178254,0
2014-08-20,16:00:00,44.93,45.21,44.76,45.12,1920705,0
2014-08-20,17:00:00,45.12,45.15,44.95,45.01,2173578,0
2014-08-20,18:00:00,45.02,45.06,44.86,45.02,1584122,0
2014-08-20,19:00:00,45.01,45.09,44.96,45.02,782574,0
2014-08-20,20:00:00,45.03,45.04,44.92,44.95,792441,0
2014-08-20,21:00:00,44.94,45.03,44.82,44.99,1431338,0
2014-08-20,22:00:00,45,45.15,45,45.06,3061954,0
2014-08-21,16:00:00,45.29,45.35,45.1,45.28,1969209,0
2014-08-21,17:00:00,45.29,45.33,44.84,44.95,3037463,0
2014-08-21,18:00:00,44.94,45.09,44.92,44.94,1286204,0
2014-08-21,19:00:00,44.94,45.06,44.87,45.05,1074494,0
2014-08-21,20:00:00,45.05,45.08,45,45.06,829080,0
2014-08-21,21:00:00,45.05,45.07,44.93,45.03,751756,0
2014-08-21,22:00:00,45.03,45.19,44.9,45.11,3023103,0
2014-08-22,16:00:00,45.04,45.17,44.8,44.92,1414529,0
2014-08-22,17:00:00,44.93,45.13,44.81,44.88,2573838,0
2014-08-22,18:00:00,44.88,45.11,44.86,45.07,1240202,0
2014-08-22,19:00:00,45.08,45.25,44.93,45.14,1866085,0
2014-08-22,20:00:00,45.15,45.78,45.07,45.76,4696657,0
2014-08-22,21:00:00,45.75,46.14,45.46,45.95,5146347,0
2014-08-22,22:00:00,45.95,46.04,45.7,45.98,17318882,0
2014-08-25,16:00:00,46.22,46.22,45.73,45.98,3879234,0
2014-08-25,17:00:00,45.98,46.36,45.82,46.31,3630560,0
2014-08-25,18:00:00,46.3,46.33,46.16,46.25,1777439,0
2014-08-25,19:00:00,46.26,46.34,45.7,45.84,3018715,0
2014-08-25,20:00:00,45.83,46.26,45.73,46.2,2189249,0
2014-08-25,21:00:00,46.2,46.25,46.06,46.18,1867970,0
2014-08-25,22:00:00,46.18,46.24,46.07,46.1,3370931,0
2014-08-26,16:00:00,46.1,46.99,46.04,46.95,4213339,0
2014-08-26,17:00:00,46.95,47.28,46.62,47.09,5869741,0
2014-08-26,18:00:00,47.1,47.16,46.92,46.97,2627713,0
2014-08-26,19:00:00,46.97,47.19,46.85,47.14,1732691,0
2014-08-26,20:00:00,47.13,47.44,47.12,47.44,2280772,0
2014-08-26,21:00:00,47.43,47.9,47.42,47.78,5432690,0
2014-08-26,22:00:00,47.77,48.2,47.71,48.17,39559589,0
2014-08-27,16:00:00,48.24,48.46,47.18,47.42,8484588,0
2014-08-27,17:00:00,47.41,48.09,47.3,47.93,5517018,0
2014-08-27,18:00:00,47.93,48.13,47.86,47.9,2739065,0
2014-08-27,19:00:00,47.91,48.07,47.71,48.06,1992313,0
2014-08-27,20:00:00,48.05,48.27,47.99,48.12,2721762,0
2014-08-27,21:00:00,48.13,48.13,47.7,47.8,2946009,0
2014-08-27,22:00:00,47.8,48.06,47.58,48.06,7195479,0
2014-08-28,16:00:00,48.03,49.52,47.86,49.16,8982289,0
2014-08-28,17:00:00,49.16,49.79,48.95,49.64,8937957,0
2014-08-28,18:00:00,49.64,49.88,49.41,49.44,5865990,0
2014-08-28,19:00:00,49.44,49.76,49.33,49.68,3697373,0
2014-08-28,20:00:00,49.68,49.75,49.53,49.66,2733224,0
2014-08-28,21:00:00,49.67,49.88,49.56,49.63,3458445,0
2014-08-28,22:00:00,49.63,49.71,49.33,49.43,13434913,0
2014-08-29,16:00:00,49.89,50.35,49.52,49.83,7283007,0
2014-08-29,17:00:00,49.82,49.83,49.32,49.46,5426806,0
2014-08-29,18:00:00,49.46,49.48,49.13,49.27,4004393,0
2014-08-29,19:00:00,49.27,49.54,49.24,49.52,3614273,0
2014-08-29,20:00:00,49.52,49.69,49.49,49.61,2642614,0
